Image_ID,Label,cn_caption,en_caption,,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure01-05B.jpg,Normal,姝ｅ父浜哄乏鐪兼棤璧ゅ厜鐪煎簳鍍忋€備笌鍥?-5A涓哄悓涓€浜?Fundus image of the left eye without ruddy light in a normal person. Same person as Figure 1-5A,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure01-05C.jpg,Normal,姝ｅ父浜哄乏鐪艰摑鍏夌溂搴曡嚜鍙戣崸鍏夊浘鍍忋€備笌鍥?-5B涓哄悓涓€浜?Autofluorescence image of the blue fundus of a normal human left eye. Same person as Figures 1-5B,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure01-05D.jpg,Normal,姝ｅ父浜哄乏鐪糉FA鍔ㄨ剦鍓嶆湡鍥惧儚銆備笌鍥?-5C涓哄悓涓€浜?Pre-FFA arterial image of the left eye of a normal person. Same person as Figures 1-5C,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure01-05E.jpg,Normal,姝ｅ父浜哄乏鐪糉FA鍔ㄨ剦鏈熷浘鍍忋€備笌鍥?-5D涓哄悓涓€浜?FFA arterial phase image of the left eye of a normal person. Same person as Figures 1-5D,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure01-05F.jpg,Normal,姝ｅ父浜哄乏鐪糉FA鍚庢湡鍥惧儚銆備笌鍥?-5E涓哄悓涓€浜?Late FFA image of the left eye of a normal person. Same person as Figures 1-5E,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure01-06.jpg,Normal,姝ｅ父浜哄乏鐪糉FA鍔ㄨ剦鍓嶆湡锛堣剦缁滆啘鏈燂級銆傚彲瑙佽剦缁滆啘鑳屾櫙鑽у厜銆佽涔冲ご鑽у厜锛屼互鍙婄潾鐘惰缃戣啘鍔ㄨ剦鍏呯泩,"Pre-FFA arterial (choroidal phase) in the left eye of a normal person. Choroidal background fluorescence, optic papillary fluorescence, and ciliary retinal artery filling are seen",,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure01-07A.jpg,Normal,姝ｅ父浜哄彸鐪糉FA鍔ㄨ剦鏈熴€傚彲瑙佽缃戣啘鍔ㄨ剦寮€濮嬪厖鐩?FFA arterial phase in the right eye of a normal person. The retinal arteries are seen to begin filling,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure01-07B.jpg,Normal,姝ｅ父浜哄彸鐪糉FA鍔ㄩ潤鑴夋湡銆備负鍥?-7A鍚屼竴鐪硷紝鍙鐗瑰緛鎬х殑闈欒剦灞傛祦,"FFA arteriovenous phase in the right eye of a normal person. For the same eye as Figure 1-7A, characteristic venous laminar flow is seen",,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure01-07C.jpg,Normal,姝ｅ父浜哄彸鐪糉FA闈欒剦鏈熴€備负鍥?-7B鍚屼竴鍚屼竴鐪硷紝鍙闈欒剦瀹屽叏鍏呯泩,"FFA venous phase in the right eye of a normal person. For Figure 1-7B same same eye, complete filling of the vein is seen",,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure01-07D.jpg,Normal,姝ｅ父浜哄彸鐪糉FA鍚庢湡鑽у厜銆備负鍥?-7C鍚屼竴鐪硷紝鍙闈欒剦鑽у厜閫愭笎鍑忓急銆傝涔冲ご鍛ㄥ洿鏅曡疆鑽у厜鏄庢樉,"Late FFA fluorescence in the right eye of a normal person. For the same eye as Figure 1-7C, a gradual decrease in venous fluorescence is seen. Halo fluorescence around the optic papilla is evident",,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure01-08A.jpg,Normal,姝ｅ父浜哄彸鐪糏CGA锛屾樉绀鸿剦缁滆啘鍔ㄨ剦鍏呯泩,"ICGA of the right eye of a normal person, showing choroidal artery filling",,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure01-08B.jpg,Normal,"姝ｅ父浜哄彸鐪糏CGA銆備负鍥?-8A鍚屼竴鐪硷紝鏄剧ず鑴夌粶鑶滃姩鑴夊厖鐩?""ICGA of the right eye in normal subjects. same eye as Fig. 1-8A"," showing choroidal arterial filling""",,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure01-09A.jpg,Normal,姝ｅ父浜篒CGA鏄剧ず鐨勬丁闈欒剦,Vortex vein shown by ICGA in normal subjects,,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure01-09B.jpg,Normal,姝ｅ父浜篒CGA鏄剧ず鐨勬丁闈欒剦,Vortex vein shown by ICGA in normal subjects,,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-03B.jpg,Disease of congenital anomalies,"宸︾溂鍏堝ぉ鎬ц涔冲ご灏忓嚬浼磋缃戣啘鑴辩FFA51绉?鍥惧儚銆備笌鍥?-3A涓哄悓涓€鎮ｈ€呫€侳FA鍙灏忓嚬澶勮壊绱犻伄钄借崸鍏夛紝鑽у厜娓楁紡涓嶆槑鏄撅紝瑙嗙綉鑶滆劚绂诲尯鍩熻交寰崸鍏夌Н瀛?""FFA51 sec 5 image of congenital optic papillary minor recess with retinal detachment in the left eye. Same patient as Figs. 2-3A. FFA shows pigment-masked fluorescence in the notochord", insignificant fluorescence leakage," and slight fluorescence accumulation in the retinal detachment region""",,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-04B.jpg,Disease of congenital anomalies,鍏堝ぉ鎬ц鐩樺皬鍑逛即瑙嗙綉鑶滆劚绂绘棤璧ゅ厜鐪煎簳鍍忋€備笌鍥?-4A涓哄悓涓€鎮ｈ€?Congenital optic disc notch with retinal detachment without ruddy fundus image. Same patient as Figure 2-4A,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-05B.jpg,Disease of congenital anomalies,"鍙崇溂鍏堝ぉ鎬ц鐩樺皬鍑逛即瑙嗙綉鑶滆劚绂籉FA1鍒?1绉?鍍忋€傛樉绀鸿鐩橀渚у皬鍑瑰寮€濮嬭崸鍏夌Н瀛橈紝涓庡浘2-5A涓哄悓涓€鎮ｈ€?""Congenital optic disc microconcavity with retinal detachment in the right eye FFA 1 min 41 sec 3 image. Shows the beginning of fluorescence accumulation in the temporal notch of the optic disc"," same patient as Figure 2-5A""",,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-05C.jpg,Disease of congenital anomalies,"鍙崇溂鍏堝ぉ鎬ц鐩樺皬鍑逛即瑙嗙綉鑶滆劚绂籉FA21鍒?0绉?鍍忋€傛樉绀鸿鐩橀渚у皬鍑瑰鑽у厜娓楁紡鏄庢樉锛屼笌鍥?-5B涓哄悓涓€鎮ｈ€?""Congenital optic disc minor concavity with retinal detachment in the right eye FFA 21 min 20 sec 5 image. Shows significant fluorescence leakage in the temporal notch of the optic disc"," same patient as Figure 2-5B""",,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-06B.jpg,Disease of congenital anomalies,"宸︾溂瑙嗕钩澶寸幓鐠冭啘鐤ｏ紙鍩嬭棌鎬э級FFA鏅氭湡鍍忋€傛樉绀鸿交寰崸鍏夋笚婕忋€佺粍缁囩潃鏌?""Late FFA image of a vitreous wart (buried) in the left optic papilla. Shows slight fluorescence leakage"," tissue staining""",,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-15C.jpg,Disease of congenital anomalies,鍙岀溂瀹舵棌鎬х幓鐠冭啘鐤FA鏅氭湡鍍忋€備笌鍥?-15A銆丅涓哄悓涓€鎮ｈ€咃紝鍙鍚庢瀬閮ㄥぇ閲忕偣鐘堕€忚鑽у厜鐥呯伓,"Late image of familial vitreous warts FFA in both eyes. In the same patient as Figure 2-15A and B, a large number of punctate translucent fluorescent foci in the posterior pole are visible",,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-15D.jpg,Disease of congenital anomalies,鍙岀溂瀹舵棌鎬х幓鐠冭啘鐤FA鏅氭湡鍍忋€備笌鍥?-15A銆丅涓哄悓涓€鎮ｈ€咃紝鍙鍚庢瀬閮ㄥぇ閲忕偣鐘堕€忚鑽у厜鐥呯伓,"Late image of familial vitreous warts FFA in both eyes. In the same patient as Figure 2-15A and B, a large number of punctate translucent fluorescent foci in the posterior pole are visible",,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-19B.jpg,Disease of congenital anomalies,"鍙崇溂鍏堝ぉ鎬ц缃戣啘鑹茬礌涓婄毊鑲ュ帤FFA鏅氭湡鍍忋€備笌鍥?-19A涓哄悓涓€鎮ｈ€咃紝鍙鐥呭彉鍛堣崸鍏夐伄钄斤紝鏃犺崸鍏夋笚婕?""Late FFA image of congenital retinal pigment epithelial hypertrophy in the right eye. In the same patient as Figure 2-19A"," the lesion is seen to be fluorescently obscured with no fluorescence leakage""",,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-22C.jpg,Disease of congenital anomalies,"宸︾溂瑙嗙綉鑶滄湁楂撶缁忕氦缁寸溂搴曡嚜鍙戣崸鍏夊浘鍍忥紝涓庡浘2-22B涓哄悓涓€鎮ｈ€?""Fundus autofluorescence image of myelinated nerve fibers in the retina of the left eye"," same patient as Figure 2-22B""",,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-11B.jpg,Disease of congenital anomalies,鍏堝ぉ鎬ц鐩樼己鎹熴€侳FA鏄剧ず瑙嗕钩澶寸己鎹熺殑涓嬫柟搴曢儴鏈夎交寰殑鑽у厜娓楁紡,Congenital Optic Disc Defect: FFA Shows Slight Fluorescent Leakage at the Base of the Inferior Part of the Optic Papillary Defect,,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-14B.jpg,Disease of congenital anomalies,鐗电墰鑺辩患鍚堝緛鐨凢FA鍥惧儚(宸︾溂),FFA image of petunia syndrome (left eye),,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-33B.jpg,Disease of congenital anomalies,鐫姸瑙嗙綉鑶滃姩鑴夈€侳FA娓呮櫚鏄剧ず涓婂崐渚ц缃戣啘鍔ㄨ剦涓庤剦缁滆啘鑽у厜鍚屾椂鍏呯泩锛屼负鐫姸瑙嗙綉鑶滃姩鑴?Ciliary retinal artery: FFA clearly shows the superior half of the retinal artery filling simultaneously with choroidal fluorescence for the ciliary retinal artery,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-37B.jpg,Disease of congenital anomalies,鍙崇溂鑴夌粶鑶滅棧FFA鍥惧儚銆侳FA鏄剧ず鑴夌粶鑶滆崸鍏夐伄钄斤紝杈圭晫涓嶆竻,FFA image of a choroidal nevus in the right eye. the FFA shows fluorescent masking of the choroid with indistinct borders,,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-07B.jpg,Disease of congenital anomalies,鍏堝ぉ鎬ц涔冲ご鐜荤拑鑶滅枺(鏄炬€?鐨勮嚜鍙戣崸鍏夊浘鍍忋€傝嚜鍙戣崸鍏夊浘鍍忓彲瑙佽涔冲ご鏄炬€х幓鐠冭啘鐤ｈ〃鐜颁负鏄庢樉鐨勮嚜鍙戣崸鍏夊寮?Autofluorescence image of a congenital optic papillary vitreous wart (dominant). Autofluorescence image of a dominant vitreous wart of the optic papilla showing marked enhancement of autofluorescence.,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-08B.jpg,Disease of congenital anomalies,"瑙嗕钩澶村墠琛€绠′即銆侳FA鐨勬棭鏈熺収鐗囨樉绀鸿涔冲ご涓婃柟寮傚父琛€绠＄ゥ鐢卞姩鑴夊拰闈欒剦缁勬垚锛屼絾浠ラ潤鑴変负涓?""Anterior optic papillary vessels with early photographs of FFA showing abnormal vascularization above the optic papilla consisting of arteries and veins"," but predominantly veins.""",,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-08C.jpg,Disease of congenital anomalies,"瑙嗕钩澶村墠琛€绠′即銆侳FA鐨勬櫄鏈熺収鐗囨樉绀鸿涔冲ご涓婃柟寮傚父琛€绠＄ゥ鐢卞姩鑴夊拰闈欒剦缁勬垚锛屼絾浠ラ潤鑴変负涓?""Anterior optic papillary vessels with FFA: Late photographs of FFA show abnormal vascularization above the optic papilla consisting of arterioles and venules"," but predominantly venules.""",,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-22B.jpg,Disease of congenital anomalies,"宸︾溂瑙嗙綉鑶滄湁楂撶缁忕氦缁存棤璧ゅ厜鐪煎簳鍍忥紝涓庡浘2-22A涓哄悓涓€鎮ｈ€?""Left retina with myelinated nerve fibers without ruddy fundus image"," same patient as Figure 2-22A""",,,,,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-26C.jpg,Disease of congenital anomalies,"鍙崇溂FFA銆両CG2鍒?7绉掑儚锛屽彲瑙侀渚у懆杈硅绠″紓甯革紝鑴夌粶鑶滆绠℃湭瑙佸紓甯革紝涓庡浘2-26A銆丅涓哄悓涓€鎮ｈ€?""FFA", ICG 2 min 37 sec image of the right eye, temporal peripheral vascular abnormality is seen, no choroidal vascular abnormality is seen," same patient as Figure 2-26A and B""",,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-26D.jpg,Disease of congenital anomalies,"鍙崇溂FFA銆両CG2鍒?7绉掑儚锛屽彲瑙侀渚у懆杈硅绠″紓甯革紝鑴夌粶鑶滆绠℃湭瑙佸紓甯革紝涓庡浘2-26A銆丅涓哄悓涓€鎮ｈ€?""FFA", ICG 2 min 37 sec image of the right eye, temporal peripheral vascular abnormality is seen, no choroidal vascular abnormality is seen," same patient as Figure 2-26A and B""",,,,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-26E.jpg,Disease of congenital anomalies,"鍙崇溂FFA銆両CG17鍒?绉?鍍忥紝鍙棰炰晶鍛ㄨ竟琛€绠￠棴濉炪€佹棤鐏屾敞鍖哄舰鎴愶紝鑴夌粶鑶滆绠℃湭瑙佹笚婕忥紝涓庡浘2-26C銆丏涓哄悓涓€鎮ｈ€?""In the right eye", FFA, ICG 17 min 7 sec 1 image, temporal peripheral vascular occlusion, no perfusion zone formation, and no leakage from the choroidal vessels are seen," which is the same patient as in Figure 2-26C and D""",,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-26F.jpg,Disease of congenital anomalies,"鍙崇溂FFA銆両CG17鍒?绉?鍍忥紝鍙棰炰晶鍛ㄨ竟琛€绠￠棴濉炪€佹棤鐏屾敞鍖哄舰鎴愶紝鑴夌粶鑶滆绠℃湭瑙佹笚婕忥紝涓庡浘2-26C銆丏涓哄悓涓€鎮ｈ€?""In the right eye", FFA, ICG 17 min 7 sec 1 image, temporal peripheral vascular occlusion, no perfusion zone formation, and no leakage from the choroidal vessels are seen," which is the same patient as in Figure 2-26C and D""",,,,,,,,,
39_MM_Retinal_dataset/FFA/figure02-26G.jpg,Disease of congenital anomalies,"宸︾溂FFA銆両CG196鍒?0鍍忥紝鍙棰炰晶鍛ㄨ竟姣涚粏琛€绠℃墿寮犮€佹壄鏇插彉褰紝鑴夌粶鑶滆绠℃湭瑙佸紓甯革紝涓庡浘2-26E銆丗涓哄悓涓€鎮ｈ€?""In the left eye", FFA and ICG 196 minute 10 image, temporal peripheral capillary dilatation and twisted deformation were seen, and no abnormality of choroidal vessels was seen," which was the same patient as Figure 2-26E and F""",,,,,,,,,,,
